,PLAYER_NAME,TEAM_ID,PLAYER_ID,SEASON,COUNTRY,HEIGHT,WEIGHT,DRAFT_YEAR
120,Marko Guduric,1610612763,1629741,2019,Serbia,6-6,201,Undrafted
121,Kyle Anderson,1610612763,203937,2019,USA,6-9,230,2014
122,Brandon Clarke,1610612763,1629634,2019,Canada,6-8,215,2019
123,Jonas Valanciunas,1610612763,202685,2019,Lithuania,6-11,265,2011
124,Yuta Watanabe,1610612763,1629139,2019,Japan,6-8,215,Undrafted
125,Eric Paschall,1610612744,1629672,2019,USA,6-6,255,2019
126,Kevon Looney,1610612744,1626172,2019,USA,6-9,222,2015
127,Willie Cauley-Stein,1610612744,1626161,2019,USA,7-0,240,2015
128,Glenn Robinson III,1610612744,203922,2019,USA,6-6,222,2014
129,Alec Burks,1610612744,202692,2019,USA,6-6,214,2011
130,Ky Bowman,1610612744,1629065,2019,USA,6-1,187,Undrafted
131,Marquese Chriss,1610612744,1627737,2019,USA,6-9,240,2016
132,Jordan Poole,1610612744,1629673,2019,USA,6-4,194,2019
133,Omari Spellman,1610612744,1629016,2019,USA,6-8,245,2018
134,Jacob Evans,1610612744,1628980,2019,USA,6-4,210,2018
135,Draymond Green,1610612744,203110,2019,USA,6-6,230,2012
136,De'Andre Hunter,1610612737,1629631,2019,USA,6-8,221,2019
137,Jabari Parker,1610612737,203953,2019,USA,6-7,245,2014
138,Damian Jones,1610612737,1627745,2019,USA,6-11,245,2016
139,DeAndre' Bembry,1610612737,1627761,2019,USA,6-5,210,2016
140,Trae Young,1610612737,1629027,2019,USA,6-1,164,2018
141,Vince Carter,1610612737,1713,2019,USA,6-6,220,1998
142,Alex Len,1610612737,203458,2019,Ukraine,7-2,250,2013
143,Cam Reddish,1610612737,1629629,2019,USA,6-7,217,2019
144,Evan Turner,1610612737,202323,2019,USA,6-6,220,2010
145,Tyrone Wallace,1610612737,1627820,2019,USA,6-5,198,2016
146,Bruno Fernando,1610612737,1628981,2019,Angola,6-10,240,2019
147,Brandon Goodwin,1610612737,1629164,2019,USA,6-0,180,Undrafted
148,Chandler Parsons,1610612737,202718,2019,USA,6-9,230,2011
149,Jimmy Butler,1610612748,202710,2019,USA,6-7,230,2011
150,Bam Adebayo,1610612748,1628389,2019,USA,6-9,255,2017
151,Meyers Leonard,1610612748,203086,2019,USA,7-0,260,2012
152,Duncan Robinson,1610612748,1629130,2019,USA,6-7,215,Undrafted
153,Kendrick Nunn,1610612748,1629134,2019,USA,6-3,190,Undrafted
154,Goran Dragic,1610612748,201609,2019,Slovenia,6-4,190,2008
155,Justise Winslow,1610612748,1626159,2019,USA,6-6,222,2015
156,Chris Silva,1610612748,1629735,2019,Gabon,6-8,234,Undrafted
157,Tyler Herro,1610612748,1629639,2019,USA,6-5,195,2019
158,Kelly Olynyk,1610612748,203482,2019,Canada,6-11,240,2013
159,Derrick Jones Jr.,1610612748,1627884,2019,USA,6-6,210,Undrafted
160,Udonis Haslem,1610612748,2617,2019,USA,6-7,235,Undrafted
161,James Johnson,1610612748,201949,2019,USA,6-7,240,2009
162,Joe Harris,1610612751,203925,2019,USA,6-6,220,2014
163,Taurean Prince,1610612751,1627752,2019,USA,6-6,218,2016
164,Jarrett Allen,1610612751,1628386,2019,USA,6-9,243,2017
165,Garrett Temple,1610612751,202066,2019,USA,6-6,195,Undrafted
166,Spencer Dinwiddie,1610612751,203915,2019,USA,6-5,215,2014
167,Dzanan Musa,1610612751,1629058,2019,Bosnia and Herzegovina,6-9,217,2018
168,DeAndre Jordan,1610612751,201599,2019,USA,6-11,265,2008
169,Iman Shumpert,1610612751,202697,2019,USA,6-5,212,2011
170,David Nwaba,1610612751,1628021,2019,USA,6-5,219,Undrafted
171,Theo Pinson,1610612751,1629033,2019,USA,6-7,212,Undrafted
172,Nicolas Claxton,1610612751,1629651,2019,USA,6-11,215,2019
173,Treveon Graham,1610612750,1626203,2019,USA,6-5,219,Undrafted
174,Robert Covington,1610612750,203496,2019,USA,6-7,209,Undrafted
175,Karl-Anthony Towns,1610612750,1626157,2019,USA,7-0,248,2015
176,Jarrett Culver,1610612750,1629633,2019,USA,6-6,195,2019
177,Andrew Wiggins,1610612750,203952,2019,Canada,6-7,197,2014
178,Jeff Teague,1610612750,201952,2019,USA,6-3,195,2009
179,Josh Okogie,1610612750,1629006,2019,Nigeria,6-4,213,2018
180,Shabazz Napier,1610612750,203894,2019,USA,6-0,175,2014
181,Keita Bates-Diop,1610612750,1628966,2019,USA,6-8,229,2018
182,Gorgui Dieng,1610612750,203476,2019,Senegal,6-10,248,2013
183,Jordan Bell,1610612750,1628395,2019,USA,6-7,216,2017
184,Naz Reid,1610612750,1629675,2019,USA,6-9,264,Undrafted
185,Noah Vonleh,1610612750,203943,2019,USA,6-10,257,2014
186,Dorian Finney-Smith,1610612742,1627827,2019,USA,6-7,220,Undrafted
187,Kristaps Porzingis,1610612742,204001,2019,Latvia,7-3,240,2015
188,Dwight Powell,1610612742,203939,2019,Canada,6-10,240,2014
189,Tim Hardaway Jr.,1610612742,203501,2019,USA,6-5,205,2013
190,Luka Doncic,1610612742,1629029,2019,Slovenia,6-7,230,2018
191,Delon Wright,1610612742,1626153,2019,USA,6-5,185,2015
192,Seth Curry,1610612742,203552,2019,USA,6-1,185,Undrafted
193,Maxi Kleber,1610612742,1628467,2019,Germany,6-10,240,Undrafted
194,Jalen Brunson,1610612742,1628973,2019,USA,6-2,190,2018
195,Justin Jackson,1610612742,1628382,2019,USA,6-8,220,2017
196,Boban Marjanovic,1610612742,1626246,2019,Serbia,7-4,290,Undrafted
197,J.J. Barea,1610612742,200826,2019,Puerto Rico,5-10,180,Undrafted
198,Courtney Lee,1610612742,201584,2019,USA,6-5,215,2008
199,LeBron James,1610612747,2544,2019,USA,6-9,250,2003
200,Anthony Davis,1610612747,203076,2019,USA,6-10,253,2012
201,JaVale McGee,1610612747,201580,2019,USA,7-0,270,2008
202,Danny Green,1610612747,201980,2019,USA,6-6,215,2009
203,Kentavious Caldwell-Pope,1610612747,203484,2019,USA,6-5,204,2013
204,Kyle Kuzma,1610612747,1628398,2019,USA,6-9,221,2017
205,Alex Caruso,1610612747,1627936,2019,USA,6-5,186,Undrafted
206,Rajon Rondo,1610612747,200765,2019,USA,6-1,180,2006
207,Troy Daniels,1610612747,203584,2019,USA,6-4,200,Undrafted
208,Dwight Howard,1610612747,2730,2019,USA,6-10,265,2004
209,Jared Dudley,1610612747,201162,2019,USA,6-6,237,2007
210,Quinn Cook,1610612747,1626188,2019,USA,6-1,180,Undrafted
211,DeMar DeRozan,1610612759,201942,2019,USA,6-6,220,2009
212,Rudy Gay,1610612759,200752,2019,USA,6-8,250,2006
213,Jakob Poeltl,1610612759,1627751,2019,Austria,7-1,245,2016
214,Derrick White,1610612759,1628401,2019,USA,6-4,190,2017
215,Bryn Forbes,1610612759,1627854,2019,USA,6-2,205,Undrafted
216,Dejounte Murray,1610612759,1627749,2019,USA,6-5,180,2016
217,Patty Mills,1610612759,201988,2019,Australia,6-0,180,2009
218,Trey Lyles,1610612759,1626168,2019,Canada,6-9,234,2015
219,Drew Eubanks,1610612759,1629234,2019,USA,6-10,245,Undrafted
220,Marco Belinelli,1610612759,201158,2019,Italy,6-5,220,2007
221,Lonnie Walker IV,1610612759,1629022,2019,USA,6-4,204,2018
222,DeMarre Carroll,1610612759,201960,2019,USA,6-6,215,2009
223,Chimezie Metu,1610612759,1629002,2019,USA,6-9,225,2018
224,Tony Snell,1610612765,203503,2019,USA,6-6,213,2013
225,Blake Griffin,1610612765,201933,2019,USA,6-9,250,2009
226,Andre Drummond,1610612765,203083,2019,USA,6-11,279,2012
227,Luke Kennard,1610612765,1628379,2019,USA,6-5,206,2017
228,Bruce Brown,1610612765,1628971,2019,USA,6-4,202,2018
229,Langston Galloway,1610612765,204038,2019,USA,6-1,200,Undrafted
230,Derrick Rose,1610612765,201565,2019,USA,6-3,200,2008
231,Markieff Morris,1610612765,202693,2019,USA,6-9,245,2011
232,Svi Mykhailiuk,1610612765,1629004,2019,Ukraine,6-7,205,2018
233,Christian Wood,1610612765,1626174,2019,USA,6-9,214,Undrafted
234,Thon Maker,1610612765,1627748,2019,South Sudan,7-0,221,2016
235,Tim Frazier,1610612765,204025,2019,USA,6-0,170,Undrafted
236,Sekou Doumbouya,1610612765,1629635,2019,France,6-9,230,2019
237,Terrance Ferguson,1610612760,1628390,2019,USA,6-6,190,2017
238,Danilo Gallinari,1610612760,201568,2019,Italy,6-10,236,2008
239,Steven Adams,1610612760,203500,2019,New Zealand,6-11,265,2013
240,Shai Gilgeous-Alexander,1610612760,1628983,2019,Canada,6-6,195,2018
241,Chris Paul,1610612760,101108,2019,USA,6-0,175,2005
242,Nerlens Noel,1610612760,203457,2019,USA,6-10,220,2013
243,Dennis Schroder,1610612760,203471,2019,Germany,6-1,172,2013
244,Abdel Nader,1610612760,1627846,2019,Egypt,6-5,225,2016
245,Darius Bazley,1610612760,1629647,2019,USA,6-9,216,2019
246,Deonte Burton,1610612760,1629126,2019,USA,6-4,240,Undrafted
247,Devon Hall,1610612760,1628985,2019,USA,6-5,215,2018
248,Mike Muscala,1610612760,203488,2019,USA,6-11,240,2013
249,Jrue Holiday,1610612740,201950,2019,USA,6-5,205,2009
250,Brandon Ingram,1610612740,1627742,2019,USA,6-8,190,2016
251,Jahlil Okafor,1610612740,1626143,2019,USA,6-10,270,2015
252,JJ Redick,1610612740,200755,2019,USA,6-3,200,2006
253,Lonzo Ball,1610612740,1628366,2019,USA,6-6,190,2017
254,Jaxson Hayes,1610612740,1629637,2019,USA,7-0,220,2019
255,Josh Hart,1610612740,1628404,2019,USA,6-4,215,2017
256,E'Twaun Moore,1610612740,202734,2019,USA,6-3,191,2011
257,Nicolo Melli,1610612740,1629740,2019,Italy,6-9,236,Undrafted
258,Nickeil Alexander-Walker,1610612740,1629638,2019,Canada,6-5,205,2019
259,Derrick Favors,1610612740,202324,2019,USA,6-9,265,2010
260,Frank Jackson,1610612740,1628402,2019,USA,6-3,205,2017
261,Kenrich Williams,1610612740,1629026,2019,USA,6-6,210,Undrafted
262,Jonathan Isaac,1610612753,1628371,2019,USA,6-10,230,2017
263,Aaron Gordon,1610612753,203932,2019,USA,6-8,235,2014
264,Khem Birch,1610612753,203920,2019,Canada,6-8,233,Undrafted
265,Evan Fournier,1610612753,203095,2019,France,6-6,205,2012
266,Markelle Fultz,1610612753,1628365,2019,USA,6-4,209,2017
267,Wes Iwundu,1610612753,1628411,2019,USA,6-6,195,2017
268,D.J. Augustin,1610612753,201571,2019,USA,5-11,183,2008
269,Mo Bamba,1610612753,1628964,2019,USA,7-0,231,2018
270,Terrence Ross,1610612753,203082,2019,USA,6-7,206,2012
271,Melvin Frazier Jr.,1610612753,1628982,2019,USA,6-5,215,2018
272,Amile Jefferson,1610612753,1628518,2019,USA,6-9,222,2017
273,Josh Magette,1610612753,203705,2019,USA,6-1,160,2012
274,OG Anunoby,1610612761,1628384,2019,United Kingdom,6-7,232,2017
275,Pascal Siakam,1610612761,1627783,2019,Cameroon,6-8,230,2016
276,Marc Gasol,1610612761,201188,2019,Spain,6-11,255,2007
277,Norman Powell,1610612761,1626181,2019,USA,6-4,215,2015
278,Fred VanVleet,1610612761,1627832,2019,USA,6-0,197,Undrafted
279,Serge Ibaka,1610612761,201586,2019,Democratic Republic of the Congo,6-11,235,2008
280,Rondae Hollis-Jefferson,1610612761,1626178,2019,USA,6-6,217,2015
281,Terence Davis,1610612761,1629056,2019,USA,6-4,201,Undrafted
282,Chris Boucher,1610612761,1628449,2019,Saint Lucia,6-9,200,Undrafted
283,Oshae Brissett,1610612761,1629052,2019,Canada,6-7,210,Undrafted
284,Malcolm Miller,1610612761,1626259,2019,USA,6-7,210,Undrafted
285,Dewan Hernandez,1610612761,1629608,2019,USA,6-10,235,2019
286,Shamorie Ponds,1610612761,1629044,2019,USA,6-0,175,Undrafted
287,Troy Brown Jr.,1610612764,1628972,2019,USA,6-7,215,2018
288,Rui Hachimura,1610612764,1629060,2019,Japan,6-8,230,2019
289,Thomas Bryant,1610612764,1628418,2019,USA,6-10,248,2017
290,Bradley Beal,1610612764,203078,2019,USA,6-4,207,2012
291,Isaiah Thomas,1610612764,202738,2019,USA,5-9,185,2011
292,Davis Bertans,1610612764,202722,2019,Latvia,6-10,225,2011
293,Ish Smith,1610612764,202397,2019,USA,6-0,175,Undrafted
294,Jordan McRae,1610612764,203895,2019,USA,6-5,179,2014
295,Isaac Bonga,1610612764,1629067,2019,Germany,6-8,180,2018
296,Chris Chiozza,1610612764,1629185,2019,USA,5-11,175,Undrafted
297,Ian Mahinmi,1610612764,101133,2019,France,6-11,262,2005
298,Moritz Wagner,1610612764,1629021,2019,Germany,6-11,245,2018
299,Kawhi Leonard,1610612746,202695,2019,USA,6-7,225,2011
300,Maurice Harkless,1610612746,203090,2019,USA,6-7,220,2012
301,Ivica Zubac,1610612746,1627826,2019,Croatia,7-0,240,2016
302,Paul George,1610612746,202331,2019,USA,6-8,220,2010
303,Patrick Beverley,1610612746,201976,2019,USA,6-2,180,2009
304,Lou Williams,1610612746,101150,2019,USA,6-2,175,2005
305,Montrezl Harrell,1610612746,1626149,2019,USA,6-7,240,2015
306,JaMychal Green,1610612746,203210,2019,USA,6-9,227,Undrafted
307,Jerome Robinson,1610612746,1629010,2019,USA,6-4,190,2018
308,Terance Mann,1610612746,1629611,2019,USA,6-5,215,2019
309,Patrick Patterson,1610612746,202335,2019,USA,6-8,235,2010
310,Derrick Walton Jr.,1610612746,1628476,2019,USA,6-0,185,Undrafted
311,Mfiondu Kabengele,1610612746,1629662,2019,Canada,6-10,250,2019
312,Jaylen Brown,1610612738,1627759,2019,USA,6-6,223,2016
313,Jayson Tatum,1610612738,1628369,2019,USA,6-8,210,2017
314,Daniel Theis,1610612738,1628464,2019,Germany,6-8,245,Undrafted
315,Marcus Smart,1610612738,203935,2019,USA,6-4,220,2014
316,Kemba Walker,1610612738,202689,2019,USA,6-0,184,2011
317,Enes Kanter,1610612738,202683,2019,Turkey,6-10,250,2011
318,Grant Williams,1610612738,1629684,2019,USA,6-6,236,2019
319,Javonte Green,1610612738,1629750,2019,USA,6-5,205,Undrafted
320,Brad Wanamaker,1610612738,202954,2019,USA,6-3,210,Undrafted
321,Robert Williams III,1610612738,1629057,2019,USA,6-9,237,2018
322,Semi Ojeleye,1610612738,1628400,2019,USA,6-6,240,2017
323,Carsen Edwards,1610612738,1629035,2019,USA,5-11,200,2019
324,Vincent Poirier,1610612738,1629738,2019,France,7-0,235,Undrafted
325,Frank Ntilikina,1610612752,1628373,2019,France,6-4,200,2017
326,Marcus Morris Sr.,1610612752,202694,2019,USA,6-8,218,2011
327,Allen Crabbe,1610612737,203459,2019,USA,6-5,212,2013
328,Ben McLemore,1610612745,203463,2019,USA,6-3,195,2013
329,P.J. Tucker,1610612745,200782,2019,USA,6-5,245,2006
330,Tyson Chandler,1610612745,2199,2019,USA,7-0,235,2001
331,James Harden,1610612745,201935,2019,USA,6-5,220,2009
332,Russell Westbrook,1610612745,201566,2019,USA,6-3,200,2008
333,Isaiah Hartenstein,1610612745,1628392,2019,Germany,7-0,250,2017
334,Austin Rivers,1610612745,203085,2019,USA,6-4,200,2012
335,Gary Clark,1610612745,1629109,2019,USA,6-6,225,Undrafted
336,Thabo Sefolosha,1610612745,200757,2019,Switzerland,6-6,215,2006
337,Chris Clemons,1610612745,1629598,2019,USA,5-9,180,Undrafted
338,Clint Capela,1610612745,203991,2019,Switzerland,6-10,256,2014
339,Frank Mason,1610612749,1628412,2019,USA,5-11,190,2017
340,Will Barton,1610612743,203115,2019,USA,6-5,181,2012
341,Paul Millsap,1610612743,200794,2019,USA,6-7,257,2006
342,Nikola Jokic,1610612743,203999,2019,Serbia,6-11,284,2014
343,Gary Harris,1610612743,203914,2019,USA,6-4,210,2014
344,Jamal Murray,1610612743,1627750,2019,Canada,6-4,215,2016
345,Jerami Grant,1610612743,203924,2019,USA,6-8,210,2014
346,Juancho Hernangomez,1610612743,1627823,2019,Spain,6-9,214,2016
347,Monte Morris,1610612743,1628420,2019,USA,6-2,183,2017
348,Mason Plumlee,1610612743,203486,2019,USA,7-0,254,2013
349,Malik Beasley,1610612743,1627736,2019,USA,6-4,187,2016
350,Torrey Craig,1610612743,1628470,2019,USA,6-7,221,Undrafted
351,Michael Porter Jr.,1610612743,1629008,2019,USA,6-10,218,2018
352,Wenyen Gabriel,1610612758,1629117,2019,South Sudan,6-9,205,Undrafted
353,Trey Burke,1610612755,203504,2019,USA,6-0,185,2013
354,Zhaire Smith,1610612755,1629015,2019,USA,6-3,205,2018
355,Miye Oni,1610612762,1629671,2019,USA,6-5,206,2019
356,Ja Morant,1610612763,1629630,2019,USA,6-2,174,2019
357,Rodney Hood,1610612757,203918,2019,USA,6-8,208,2014
358,Carmelo Anthony,1610612757,2546,2019,USA,6-7,238,2003
359,Hassan Whiteside,1610612757,202355,2019,USA,7-0,265,2010
360,CJ McCollum,1610612757,203468,2019,USA,6-3,190,2013
361,Damian Lillard,1610612757,203081,2019,USA,6-2,195,2012
362,Nassir Little,1610612757,1629642,2019,USA,6-5,220,2019
363,Anfernee Simons,1610612757,1629014,2019,USA,6-3,181,2018
364,Skal Labissiere,1610612757,1627746,2019,Haiti,6-10,235,2016
365,Kent Bazemore,1610612757,203145,2019,USA,6-4,195,Undrafted
366,Moses Brown,1610612757,1629650,2019,USA,7-2,245,Undrafted
367,Mario Hezonja,1610612757,1626209,2019,Croatia,6-8,220,2015
368,Jaylen Hoard,1610612757,1629658,2019,France,6-8,216,Undrafted
369,Anthony Tolliver,1610612757,201229,2019,USA,6-8,240,Undrafted
370,Cheick Diallo,1610612756,1627767,2019,Mali,6-8,219,2016
371,Rodney McGruder,1610612746,203585,2019,USA,6-4,205,Undrafted
372,LaMarcus Aldridge,1610612759,200746,2019,USA,6-11,250,2006
373,Brook Lopez,1610612749,201572,2019,USA,7-1,282,2008
374,Cedi Osman,1610612739,1626224,2019,Turkey,6-7,230,2015
375,Kevin Love,1610612739,201567,2019,USA,6-8,251,2008
376,Tristan Thompson,1610612739,202684,2019,Canada,6-9,254,2011
377,Collin Sexton,1610612739,1629012,2019,USA,6-2,190,2018
378,Darius Garland,1610612739,1629636,2019,USA,6-1,192,2019
379,Larry Nance Jr.,1610612739,1626204,2019,USA,6-8,245,2015
380,Kevin Porter Jr.,1610612739,1629645,2019,USA,6-4,203,2019
381,Jordan Clarkson,1610612739,203903,2019,USA,6-5,194,2014
382,Alfonzo McKinnie,1610612739,1628035,2019,USA,6-7,215,Undrafted
383,Matthew Dellavedova,1610612739,203521,2019,Australia,6-3,200,Undrafted
384,Ante Zizic,1610612739,1627790,2019,Croatia,6-10,266,2016
385,Brandon Knight,1610612739,202688,2019,USA,6-2,182,2011
386,Marial Shayok,1610612755,1629621,2019,Canada,6-5,198,2019
387,Al-Farouq Aminu,1610612753,202329,2019,USA,6-8,220,2010
388,Henry Ellenson,1610612751,1627740,2019,USA,6-10,240,2016
