,player_id,FIRST_NAME,LAST_NAME,TEAM_ID,HEIGHT,DRAFT_YEAR,FULL_NAME,SEASON
364,2775,Seung-Jin,Ha,1610612757.0,222.504,2004,Seung-Jin Ha,2014
365,2833,Nigel,Dixon,0.0,,Undrafted,Nigel Dixon,2014
366,2469,Pat,Burke,1610612756.0,186.23280000000003,Undrafted,Pat Burke,2014
367,101159,Dijon,Thompson,0.0,207.264,2005,Dijon Thompson,2014
369,2841,Steven,Barber,0.0,,Undrafted,Steven Barber,2014
370,101239,Otis,George,0.0,,Undrafted,Otis George,2014
371,101147,Chris,Taft,1610612744.0,185.928,2005,Chris Taft,2014
372,101195,Luke,Schenscher,1610612741.0,216.408,Undrafted,Luke Schenscher,2014
376,101219,Anthony,Grundy,1610612737.0,192.024,Undrafted,Anthony Grundy,2014
377,2752,Sergei,Monia,0.0,207.264,2004,Sergei Monia,2014
384,2758,David,Harrison,1610612754.0,213.36,2004,David Harrison,2014
386,200816,Jorge,Garbajosa,0.0,210.312,Undrafted,Jorge Garbajosa,2014
387,200517,Joe,Shipp,0.0,,Undrafted,Joe Shipp,2014
388,200788,James,Augustine,1610612753.0,185.928,2006,James Augustine,2014
389,200835,Walter,Herrmann,1610612765.0,210.312,Undrafted,Walter Herrmann,2014
390,200849,Jackie,Manuel,0.0,,Undrafted,Jackie Manuel,2014
391,200810,Allan,Ray,0.0,,Undrafted,Allan Ray,2014
392,200819,Kevin,Pittsnogle,0.0,,Undrafted,Kevin Pittsnogle,2014
393,200836,Akin,Akingbala,0.0,,Undrafted,Akin Akingbala,2014
394,200759,Cedric,Simmons,1610612740.0,210.312,2006,Cedric Simmons,2014
395,200827,Darius,Washington,0.0,188.976,Undrafted,Darius Washington,2014
396,200862,Scooter,McFadgon,0.0,,Undrafted,Scooter McFadgon,2014
397,200805,JR,Pinnock,0.0,,2006,JR Pinnock,2014
398,200856,Brian,Chase,0.0,,Undrafted,Brian Chase,2014
399,2779,Vassilis,Spanoulis,1610612745.0,195.072,2004,Vassilis Spanoulis,2014
400,200825,Matt,Haryasz,0.0,,Undrafted,Matt Haryasz,2014
401,200823,Robert,Hite,0.0,188.976,Undrafted,Robert Hite,2014
403,2398,Jay,Williams,1610612741.0,188.976,2002,Jay Williams,2014
404,101148,Mile,Ilic,1610612751.0,216.408,2005,Mile Ilic,2014
405,200801,Hassan,Adams,0.0,195.072,2006,Hassan Adams,2014
406,200841,Cedric,Bozeman,0.0,201.16799999999998,Undrafted,Cedric Bozeman,2014
407,2696,Lynn,Greer,1610612749.0,188.976,Undrafted,Lynn Greer,2014
408,200786,David,Noel,1610612749.0,201.16799999999998,2006,David Noel,2014
409,200806,Damir,Markota,1610612749.0,185.928,2006,Damir Markota,2014
410,200840,Chris,McCray,0.0,198.12,Undrafted,Chris McCray,2014
412,200754,Mouhamed,Sene,1610612760.0,186.23280000000003,2006,Mouhamed Sene,2014
413,200787,Denham,Brown,0.0,,2006,Denham Brown,2014
414,200846,Kenny,Adeleke,0.0,,Undrafted,Kenny Adeleke,2014
415,200837,Mike,Hall,1610612764.0,207.264,Undrafted,Mike Hall,2014
416,200818,Justin,Williams,0.0,185.928,Undrafted,Justin Williams,2014
417,200828,Pat,Carroll,0.0,,Undrafted,Pat Carroll,2014
418,200790,Marcus,Vinicius,0.0,207.264,2006,Marcus Vinicius,2014
420,200857,Elton,Brown,0.0,,Undrafted,Elton Brown,2014
422,200859,Paul,Miller,0.0,,Undrafted,Paul Miller,2014
423,2810,Andre,Brown,0.0,210.312,Undrafted,Andre Brown,2014
424,200784,Bobby,Jones,1610612755.0,204.216,2006,Bobby Jones,2014
425,200829,Ivan,McFarlin,0.0,204.216,Undrafted,Ivan McFarlin,2014
426,200848,Steven,Smith,0.0,210.312,Undrafted,Steven Smith,2014
427,2822,Rich,Melzer,0.0,,Undrafted,Rich Melzer,2014
428,200815,Jamar,Smith,0.0,,Undrafted,Jamar Smith,2014
430,2402,Dajuan,Wagner,0.0,192.024,2002,Dajuan Wagner,2014
432,200844,Davin,White,0.0,,Undrafted,Davin White,2014
434,200812,Daniel,Horton,0.0,,Undrafted,Daniel Horton,2014
435,239,Darrick,Martin,0.0,155.7528,Undrafted,Darrick Martin,2014
436,100686,Michaela,Pavlickova,0.0,,2001,Michaela Pavlickova,2014
437,100729,Michelle,Snow,0.0,,2002,Michelle Snow,2014
438,101166,Uros,Slokar,1610612761.0,185.928,2005,Uros Slokar,2014
439,201172,Gabe,Pruitt,1610612738.0,195.072,2007,Gabe Pruitt,2014
440,201204,Brandon,Wallace,0.0,,Undrafted,Brandon Wallace,2014
442,200798,Cheikh,Samb,0.0,216.408,2006,Cheikh Samb,2014
443,200978,Jeremy,Richardson,1610612737.0,204.216,Undrafted,Jeremy Richardson,2014
444,201197,Sammy,Mejia,0.0,,2007,Sammy Mejia,2014
446,200557,Chet,Mason,0.0,,Undrafted,Chet Mason,2014
449,974,Joseph,Blair,0.0,,1996,Joseph Blair,2014
451,200799,Guillermo,Diaz,0.0,,2006,Guillermo Diaz,2014
452,201240,Brad,Stricker,0.0,,Undrafted,Brad Stricker,2014
453,201001,Andre,Patterson,0.0,,Undrafted,Andre Patterson,2014
454,2646,Kris,Lang,0.0,,Undrafted,Kris Lang,2014
455,201174,Nick,Fazekas,1610612746.0,186.23280000000003,2007,Nick Fazekas,2014
456,201232,Jared,Newson,0.0,,Undrafted,Jared Newson,2014
457,201176,Jermareo,Davidson,1610612766.0,185.928,2007,Jermareo Davidson,2014
458,201226,Kevin,Kruger,0.0,,Undrafted,Kevin Kruger,2014
459,201248,Anthony,Richardson,0.0,,Undrafted,Anthony Richardson,2014
460,2677,Kevin,Lyde,0.0,,Undrafted,Kevin Lyde,2014
461,201192,Taurean,Green,1610612743.0,182.88,2007,Taurean Green,2014
462,201015,Antywane,Robinson,0.0,,Undrafted,Antywane Robinson,2014
463,200583,Brandon,Robinson,0.0,,Undrafted,Brandon Robinson,2014
464,201231,Nik,Caner-Medley,0.0,,Undrafted,Nik Caner-Medley,2014
465,201239,Rashid,Byrd,0.0,,Undrafted,Rashid Byrd,2014
466,201213,Larry,Turner,0.0,,Undrafted,Larry Turner,2014
467,201195,Herbert,Hill,1610612755.0,185.928,2007,Herbert Hill,2014
468,200951,Chris,Ellis,0.0,,Undrafted,Chris Ellis,2014
469,201237,Brent,Petway,0.0,,Undrafted,Brent Petway,2014
470,201249,Jamaal,Tatum,0.0,,Undrafted,Jamaal Tatum,2014
471,2434,Juan Carlos,Navarro,0.0,,2002,Juan Carlos Navarro,2014
472,275,Allan,Houston,0.0,201.16799999999998,1993,Allan Houston,2014
473,201185,Jared,Jordan,0.0,,2007,Jared Jordan,2014
474,201236,Lukasz,Obrzut,0.0,,Undrafted,Lukasz Obrzut,2014
